real_time_ms [ms],sim_time_ms [ms],timestamp_ms [ms],publish_time [ms],distance_traveled [m],battery_consumption [%],min_obstacle_distance [m],goal_reached,distance_to_goal [m]
1780134719443,287600,287600,0,1.07883,0.00055894,0.543283,0,2.39002
1780134720443,288500,288500,0,1.07883,0.00055894,0.545122,0,2.39002
1780134721444,289100,289100,0,1.07884,0.00055894,0.536481,0,2.39002
1780134722444,289900,289900,0,1.07884,0.000558941,0.537643,0,2.39002
1780134723444,290700,290700,0,1.07884,0.000558941,0.544718,0,2.39002
1780134724444,291600,291600,0,1.07884,0.000558941,0.541917,0,2.39002
1780134725444,292400,292400,0,1.07884,0.000558941,0.529189,0,2.39002
1780134726445,293300,293300,0,1.07884,0.000558941,0.542148,0,2.39002
1780134727447,294200,294200,0,1.07884,0.000558941,0.537121,0,2.39002
1780134728449,295000,295100,-100,1.07884,0.000558941,0.533882,0,2.39002
1780134729445,295800,295800,0,1.07884,0.000558941,0.523434,0,2.39002
1780134730450,296600,296600,0,1.07884,0.000558942,0.535827,0,2.39002
1780134731456,297100,297100,0,1.07884,0.000558942,0.541569,0,2.39002
1780134732473,297400,297400,0,1.07884,0.000558942,0.532498,0,2.39002
1780134733433,297700,297700,0,1.07884,0.000558942,0.531489,0,2.39002
1780134734436,298400,298400,0,1.07884,0.000558942,0.547246,0,2.39002
1780134735432,298700,298700,0,1.07884,0.000558942,0.530342,0,2.39002
